source,medium,country,browser,device_category,pageviews,transactions,date,hits
google,organic,United States,Chrome,desktop,12,,20160801,14
(direct),(none),United States,Chrome,desktop,10,,20160801,14
(direct),(none),United States,Chrome,desktop,12,,20160801,14
google,organic,Mexico,Chrome,desktop,11,1,20160801,14
google,organic,United States,Firefox,desktop,12,,20160801,14
(direct),(none),United States,Chrome,desktop,9,,20160801,14
(direct),(none),United States,Chrome,desktop,9,,20160801,14
(direct),(none),United States,Chrome,desktop,11,,20160801,14
(direct),(none),United States,Safari,tablet,7,,20160801,14
sites.google.com,referral,United States,Chrome,desktop,11,,20160801,14
youtube.com,referral,United States,Chrome,desktop,10,,20160801,15
(direct),(none),United States,Safari,mobile,13,,20160801,15
(direct),(none),United States,Chrome,desktop,15,,20160801,15
google,organic,United States,Chrome,desktop,12,,20160801,15
(direct),(none),United States,Chrome,desktop,12,,20160801,15
(direct),(none),Canada,Edge,desktop,15,,20160801,15
google,organic,United States,Chrome,desktop,15,,20160801,15
google,organic,United States,Chrome,desktop,13,,20160801,15
(direct),(none),Peru,Chrome,mobile,10,,20160801,15
(direct),(none),Spain,Safari,mobile,12,,20160801,15
(direct),(none),United States,Safari,tablet,9,,20160801,15
(direct),(none),United States,Chrome,desktop,11,,20160801,16
(direct),(none),Canada,Safari,mobile,11,,20160801,16
youtube.com,referral,United States,Safari,desktop,13,1,20160801,16
google,organic,United States,Chrome,desktop,8,,20160801,16
(direct),(none),United States,Chrome,desktop,7,,20160801,16
google,cpc,United States,Chrome,desktop,12,,20160801,16
google,organic,United States,Chrome,desktop,12,,20160801,16
google,organic,Canada,Chrome,desktop,12,,20160801,16
(direct),(none),Russia,YaBrowser,desktop,16,,20160801,16
google,cpc,United States,Chrome,desktop,11,,20160801,16
(direct),(none),United States,Chrome,desktop,10,,20160801,16
(direct),(none),United States,Chrome,desktop,12,,20160801,16
(direct),(none),Japan,Chrome,desktop,12,,20160801,16
(direct),(none),United States,Chrome,desktop,12,,20160801,17
google,organic,United States,Safari,mobile,14,,20160801,17
google,organic,United States,Edge,desktop,14,,20160801,17
(direct),(none),United States,Chrome,desktop,13,,20160801,17
(direct),(none),United States,Chrome,desktop,14,,20160801,17
(direct),(none),United States,Chrome,desktop,13,,20160801,17
google,organic,United States,Chrome,desktop,14,,20160801,17
google,organic,Canada,Chrome,desktop,17,,20160801,17
(direct),(none),United States,Chrome,mobile,11,,20160801,17
(direct),(none),United States,Chrome,desktop,17,,20160801,17
google,cpc,United States,Chrome,desktop,13,,20160801,17
google,organic,Canada,Chrome,desktop,12,,20160801,17
(direct),(none),United States,Chrome,desktop,12,,20160801,18
(direct),(none),United States,Chrome,desktop,12,,20160801,18
(direct),(none),United States,Chrome,desktop,14,,20160801,18
(direct),(none),United States,Chrome,desktop,11,,20160801,18
(direct),(none),United States,Chrome,desktop,13,,20160801,18
(direct),(none),United States,Chrome,desktop,10,,20160801,18
google,organic,Spain,Chrome,desktop,14,,20160801,18
(direct),(none),United States,Chrome,desktop,14,,20160801,18
(direct),(none),United States,Chrome,desktop,15,,20160801,18
gatewaycdi.com,referral,United States,Chrome,desktop,14,1,20160801,18
(direct),(none),United States,Firefox,desktop,15,,20160801,18
(direct),(none),United States,Edge,desktop,15,,20160801,18
(direct),(none),United States,Chrome,desktop,11,,20160801,18
(direct),(none),United States,Chrome,desktop,16,,20160801,18
google,organic,United Kingdom,Chrome,desktop,18,,20160801,19
google,organic,Costa Rica,Chrome,mobile,14,,20160801,19
google,organic,United States,Chrome,desktop,16,,20160801,19
(direct),(none),United States,Chrome,tablet,14,,20160801,19
(direct),(none),United States,Chrome,desktop,14,,20160801,19
google,organic,United States,Chrome,desktop,16,,20160801,19
(direct),(none),United States,Chrome,desktop,15,,20160801,19
(direct),(none),Finland,Chrome,desktop,16,,20160801,19
google,organic,United States,Safari,mobile,17,,20160801,19
google,organic,United States,Chrome,desktop,11,,20160801,19
facebook.com,referral,India,Chrome,desktop,14,,20160801,20
google,organic,United States,Safari,mobile,12,,20160801,20
google,organic,United Kingdom,Chrome,desktop,16,,20160801,20
(direct),(none),United States,Chrome,desktop,13,,20160801,20
(direct),(none),United States,Chrome,tablet,14,,20160801,20
(direct),(none),United States,Chrome,desktop,17,,20160801,20
(direct),(none),United States,Chrome,desktop,15,1,20160801,20
(direct),(none),United States,Chrome,desktop,14,,20160801,20
(direct),(none),United States,Chrome,desktop,18,,20160801,21
(direct),(none),United States,Chrome,mobile,16,,20160801,21
(direct),(none),United States,Safari,mobile,19,,20160801,21
(direct),(none),United States,Internet Explorer,desktop,20,,20160801,21
(direct),(none),United States,Chrome,desktop,14,,20160801,21
(direct),(none),United States,Firefox,desktop,10,,20160801,21
(direct),(none),United States,Chrome,desktop,17,1,20160801,21
(direct),(none),United States,Chrome,desktop,16,,20160801,21
(direct),(none),United States,Chrome,desktop,21,1,20160801,21
(direct),(none),Hong Kong,Safari,mobile,19,,20160801,21
(direct),(none),United States,Internet Explorer,desktop,17,,20160801,21
(direct),(none),United States,Chrome,desktop,16,,20160801,21
(direct),(none),Saudi Arabia,Chrome,desktop,17,,20160801,21
youtube.com,referral,United States,Safari,tablet,20,,20160801,22
google,organic,United States,Chrome,desktop,18,,20160801,22
(direct),(none),United States,Chrome,desktop,18,,20160801,22
(direct),(none),United States,Chrome,desktop,16,,20160801,22
(direct),(none),United States,Chrome,desktop,14,,20160801,22
(direct),(none),United States,Chrome,mobile,20,,20160801,22
(direct),(none),United States,Chrome,desktop,17,1,20160801,22
(direct),(none),United States,Safari,desktop,13,,20160801,22
(direct),(none),United States,Chrome,desktop,18,,20160801,22
google,organic,United States,Chrome,desktop,17,1,20160801,22
google,organic,United States,Chrome,desktop,15,,20160801,22
(direct),(none),United States,Chrome,desktop,15,,20160801,22
(direct),(none),United States,Firefox,desktop,17,,20160801,22
google,organic,India,Chrome,desktop,15,,20160801,23
google,organic,United States,Chrome,desktop,17,,20160801,23
(direct),(none),United States,Chrome,desktop,19,,20160801,23
(direct),(none),United States,Chrome,desktop,20,,20160801,23
(direct),(none),Mexico,Chrome,desktop,18,,20160801,23
(direct),(none),United States,Chrome,desktop,19,,20160801,23
(direct),(none),United States,Chrome,desktop,19,,20160801,23
(direct),(none),United States,Chrome,mobile,17,,20160801,23
(direct),(none),United States,Chrome,mobile,18,,20160801,25
google,organic,United States,Chrome,desktop,19,1,20160801,25
(direct),(none),Australia,Chrome,desktop,17,,20160801,25
(direct),(none),Italy,Chrome,desktop,18,,20160801,25
(direct),(none),United States,Chrome,desktop,21,,20160801,25
(direct),(none),United States,Chrome,desktop,20,,20160801,25
(direct),(none),United States,Chrome,desktop,18,,20160801,25
(direct),(none),United States,Chrome,desktop,19,1,20160801,25
google,organic,Colombia,Chrome,mobile,20,,20160801,25
(direct),(none),Mexico,Chrome,desktop,17,,20160801,25
(direct),(none),United States,Chrome,desktop,15,,20160801,26
google,organic,United States,Safari,desktop,17,,20160801,26
(direct),(none),United States,Safari,desktop,22,,20160801,26
(direct),(none),United States,Chrome,desktop,18,,20160801,26
(direct),(none),United States,Chrome,desktop,23,1,20160801,26
google,organic,United States,Chrome,desktop,23,,20160801,26
(direct),(none),United States,Chrome,desktop,16,,20160801,26
(direct),(none),United States,Chrome,desktop,21,,20160801,26
(direct),(none),Japan,Safari (in-app),mobile,20,,20160801,34
(direct),(none),United States,Chrome,desktop,22,1,20160801,34
(direct),(none),United States,Chrome,desktop,28,1,20160801,34
(direct),(none),United States,Chrome,desktop,26,1,20160801,34
(direct),(none),United States,Chrome,desktop,16,,20160801,34
(direct),(none),United States,Chrome,desktop,24,1,20160801,34
(direct),(none),United States,Chrome,desktop,22,,20160801,34
(direct),(none),United States,Chrome,desktop,27,,20160801,34
(direct),(none),United States,Chrome,mobile,31,,20160801,34
google,organic,Hong Kong,Chrome,desktop,18,,20160801,34
google,organic,Germany,Chrome,desktop,1,,20160801,1
(direct),(none),United States,Chrome,mobile,1,,20160801,1
(direct),(none),United States,Chrome,mobile,1,,20160801,1
google,organic,Ukraine,Opera,desktop,1,,20160801,1
google,organic,Portugal,Internet Explorer,desktop,1,,20160801,1
google,organic,United States,Chrome,mobile,1,,20160801,1
google,organic,United States,Chrome,mobile,1,,20160801,1
(direct),(none),United States,Safari,mobile,1,,20160801,1
(direct),(none),United States,Safari,tablet,1,,20160801,1
google,organic,United States,Chrome,desktop,1,,20160801,1
google,organic,United States,Chrome,desktop,1,,20160801,1
google,organic,Ukraine,Chrome,desktop,1,,20160801,1
(direct),(none),India,Firefox,desktop,1,,20160801,1
